Division,Level Education,Training Level,Work Experience,Salary,Sales
Sales,Bachelor,Intermediate,5,65000,250000
Marketing,Master,Advanced,8,75000,320000
Sales,High School,Beginner,2,45000,120000
Operations,Bachelor,Intermediate,6,70000,280000
Sales,Master,Advanced,10,85000,450000
HR,Bachelor,Beginner,1,50000,80000
Sales,Bachelor,Advanced,7,72000,310000
Finance,Master,Advanced,9,80000,400000
Sales,High School,Intermediate,4,55000,180000
Operations,Bachelor,Intermediate,5,68000,260000
Sales,Master,Advanced,11,90000,520000
Marketing,Bachelor,Beginner,2,48000,130000
Sales,Bachelor,Intermediate,6,69000,290000
Finance,Bachelor,Advanced,8,78000,380000
Sales,High School,Intermediate,3,52000,150000
Operations,Master,Advanced,10,82000,410000
